date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:07	314/314	---M--	200	added ('OK')	text/plain	date:Thu,%2022%20Sep%202022%2002:57:08%20GMT	https://www.mercadopago.com.ar/robots.txt		(from )
23:57:21	260750/260750	---MCZ	200	added ('OK')	text/html	etag:W/%223fa8e-HLb3gljb6D9jTrmcMCpA43FgoAc%22	https://www.mercadopago.com.ar/	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/index.html	(from )
23:57:22	2933/2933	---M--	200	added ('OK')	image/png	etag:%22b75-XOqsaUNinuipgKXcmG69fL2FLvc%22	https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/180x180.png	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/180x180.png	(from https://www.mercadopago.com.ar/)
23:57:22	1014/1014	---M--	200	added ('OK')	image/png	etag:%223f6-TP5zDCd2udOrJ8Gi6oOY0rqRlwc%22	https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__small.png	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__small.png	(from https://www.mercadopago.com.ar/)
23:57:22	1755/1755	---M--	200	added ('OK')	image/png	etag:%226db-v7M1KIGxf2EeVfLuSvipQN756go%22	https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__small@2x.png	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__small@2x.png	(from https://www.mercadopago.com.ar/)
23:57:23	3518/3518	---M--	200	added ('OK')	image/png	etag:%22dbe-vfvPL65jBhBLzEsTPg7m4U4gepQ%22	https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__large@2x.png	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__large@2x.png	(from https://www.mercadopago.com.ar/)
23:57:23	1843/1843	---M--	200	added ('OK')	image/png	etag:%22733-NEfH/i5MKrIUnl5lMCwiPIEbOvo%22	https://http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__large.png	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/frontend-assets/mp-web-navigation/ui-navigation/5.19.1/mercadopago/logo__large.png	(from https://www.mercadopago.com.ar/)
23:57:24	22352/22352	---M-Z	200	added ('OK')	text/css	etag:W/%229fda19c24d8d3ed7d1609cd92f0215dd%22	https://http2.mlstatic.com/frontend-assets/home-landing/mla.home.desktop.6a9c3f2c.css	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/frontend-assets/home-landing/mla.home.desktop.6a9c3f2c.css	(from https://www.mercadopago.com.ar/)
23:57:24	69885/69885	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c1b83a1983529f3a5f3fadbf5530eb6f%22	https://http2.mlstatic.com/analytics/ga/mla-mp-analytics.min.js	C:/Mis%20lugares%20Web/ssssas/http2.mlstatic.com/analytics/ga/mla-mp-analytics.min.js	(from https://www.mercadopago.com.ar/)
23:57:26	200372/200372	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2230eb4-nNLZhyM2Scf/9xeW2YJLNjVrlpE%22	https://www.mercadopago.com.ar/HOME/INDEX/	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/HOME/INDEX/index.html	(from https://www.mercadopago.com.ar/)
23:57:27	187103/187103	---MCZ	200	added ('OK')	text/html	etag:W/%222dadf-YSl0OBbfdM9F+M+vE2FekJ8d4Tc%22	https://www.mercadopago.com.ar/herramientas-para-vender	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/herramientas-para-vender.html	(from https://www.mercadopago.com.ar/)
23:57:28	273195/273195	---MCZ	200	added ('OK')	text/html	etag:W/%2242b2b-iuMFIw5JOPrDb74HPvFERDimEZc%22	https://www.mercadopago.com.ar/cuenta	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/cuenta.html	(from https://www.mercadopago.com.ar/)
23:57:30	409076/409076	---MCZ	200	added ('OK')	text/html	etag:W/%2263df4-W247VaHsKSyqvSUFpW+Ri483f/A%22	https://www.mercadopago.com.ar/point	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/point.html	(from https://www.mercadopago.com.ar/)
23:57:31	335557/335557	---MCZ	200	added ('OK')	text/html	etag:W/%2251ec5-cBQW/aBwyAj7tEFKQnSyxKtIY7M%22	https://www.mercadopago.com.ar/como-cobrar/codigo-qr	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/como-cobrar/codigo-qr.html	(from https://www.mercadopago.com.ar/)
23:57:31	314166/314166	---MCZ	200	added ('OK')	text/html	etag:W/%224cb36-t/38KrGS4wtkSha5ZOnfhfjZ+GU%22	https://www.mercadopago.com.ar/herramientas-para-vender/link-de-pago-plugins-y-plataformas-checkout/link-de-pago	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/herramientas-para-vender/link-de-pago-plugins-y-plataformas-checkout/link-de-pago.html	(from https://www.mercadopago.com.ar/)
23:57:32	293285/293285	---MCZ	200	added ('OK')	text/html	etag:W/%22479a5-/GTlwb+L/8JEtAUeLXxBn5qMKR0%22	https://www.mercadopago.com.ar/link-de-pago-plugins-y-plataformas-checkout	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/link-de-pago-plugins-y-plataformas-checkout.html	(from https://www.mercadopago.com.ar/)
23:57:33	189610/189610	---MCZ	200	added ('OK')	text/html	etag:W/%222e4aa-NdVVJYDLBIroRVLtMm64ND/6OtI%22	https://www.mercadopago.com.ar/herramientas-para-vender/suscripciones	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/herramientas-para-vender/suscripciones.html	(from https://www.mercadopago.com.ar/)
23:57:33	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2002:57:33%20GMT	https://www.mercadopago.com.ar/mercado-credito/prestamos-online	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/mercado-credito/prestamos-online	(from https://www.mercadopago.com.ar/)
23:57:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2002:57:34%20GMT	http://www.mercadopago.com.ar/mercado-credito/prestamos-negocio-online	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/mercado-credito/prestamos-negocio-online.f.delayed	(from https://www.mercadopago.com.ar/)
23:57:35	174976/174976	---MCZ	200	added ('OK')	text/html	etag:W/%222ab80-GM2d11fG8lDqBasNBAqIb59OSvo%22	https://www.mercadopago.com.ar/mercado-credito/prestamos-negocio-online	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/mercado-credito/prestamos-negocio-online.html	(from https://www.mercadopago.com.ar/)
23:57:36	201310/201310	---MCZ	200	added ('OK')	text/html	etag:W/%223125e-HL+FcqM52a73e9nP2bxeWSdg1eU%22	https://www.mercadopago.com.ar/ayuda	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/ayuda.html	(from https://www.mercadopago.com.ar/)
23:57:37	143202/143202	---MCZ	200	added ('OK')	text/html	etag:W/%2222f62-w10reiaDj2Xt5J8sW5O+3F1YJdc%22	https://www.mercadopago.com.ar/revendedores/	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/revendedores/index.html	(from https://www.mercadopago.com.ar/)
23:57:37	78/78	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Sep%202022%2002:57:36%20GMT	https://www.mercadopago.com.ar/developers/	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/developers/index.html	(from https://www.mercadopago.com.ar/)
23:57:38	178863/178863	---MCZ	200	added ('OK')	text/html	etag:W/%222baaf-xF8821jDGdumFRyQ/MfhINCIKSE%22	https://www.mercadopago.com.ar/ayuda/18307	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/ayuda/18307.html	(from https://www.mercadopago.com.ar/)
23:57:39	192200/192200	---MCZ	200	added ('OK')	text/html	etag:W/%222eec8-KHL+podZkxpvsdhhz2GevViiXpY%22	https://www.mercadopago.com.ar/ayuda/18700	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/ayuda/18700.html	(from https://www.mercadopago.com.ar/)
23:57:40	190743/190743	---MCZ	200	added ('OK')	text/html	etag:W/%222e917-b9v8QwrsqqcAAwGdUzSRbQoQhoE%22	https://www.mercadopago.com.ar/ayuda/23303	C:/Mis%20lugares%20Web/ssssas/www.mercadopago.com.ar/ayuda/23303.html	(from https://www.mercadopago.com.ar/)
